site_name,site_code,STAID,site_lat,site_lon,nearest_bay
East Mustang Creek,EM,8164504,29.071,-96.417,LB
West Mustang Creek,WM,8164503,29.071,-96.467,LB
Garcitas Creek,GC,8164600,28.892,-96.815,LB
Placedo Creek,PL,8164800,28.724,-96.769,LB
Mission River,MR,8189500,28.292,-97.277,CB
Aransas River,AR,8189700,28.284,-97.62,CB
Perdido Creek,PD,8177300,28.75,-97.316,CB
Lower Nueces River,LN,8211500,27.89,-97.629,NB
Upper Nueces River,UN,8211500,27.876,-97.626,NB
Tranquitas Creek,TR,8212300,27.517,-97.838,BB
San Fernando Creek,SF,8211900,27.773,-98.035,BB
Baffin Bay,BB,NA,27.356,-97.695,NA
Nueces Bay,NB,NA,27.825,-97.47,NA
Copano Bay,CB,NA,28.12,-97.022,NA
Lavaca Bay,LB,NA,28.691,-96.661,NA
Hynes Bay,HB,NA,28.393,-96.838,NA
