site,trophic_category,species,trophic_level_fbase,size_max,guild,s.hydrogen_mean,s.hydrogen_n,s.hydrogen_sd,s.hydrogen_se,s.carbon_mean,s.carbon_n,s.carbon_sd,s.carbon_se,s.nitrogen_mean,s.nitrogen_n,s.nitrogen_sd,s.nitrogen_se,carbon,nitrogen,hydrogen,t.hydrogen_mean,t.hydrogen_n,t.hydrogen_sd,t.hydrogen_se,t.carbon_mean,t.carbon_n,t.carbon_sd,t.carbon_se,t.nitrogen_mean,t.nitrogen_n,t.nitrogen_sd,t.nitrogen_se
AR,F-3,A.natalis,3.33,80,fish,-101.97637328,3,15.435576507375178,8.911734251630122,-26.522394986666665,3,0.5960436082259721,0.34412593765802085,19.67475083,3,1.9540734209460762,1.12818481559951,-27.17557699,21.38792308,-118.1091593,-101.607895063,15,8.938806706261692,2.307989967221247,-25.645160807761904,15,0.8759150393939776,0.2261602906843659,17.45028017842857,15,1.8000500711398595,0.4647709298576101
AR,F-3,A.natalis,3.33,80,fish,-101.97637328,3,15.435576507375178,8.911734251630122,-26.522394986666665,3,0.5960436082259721,0.34412593765802085,19.67475083,3,1.9540734209460762,1.12818481559951,-26.00796646,17.54647938,-87.34820204,-101.607895063,15,8.938806706261692,2.307989967221247,-25.645160807761904,15,0.8759150393939776,0.2261602906843659,17.45028017842857,15,1.8000500711398595,0.4647709298576101
AR,F-3,A.natalis,3.33,80,fish,-101.97637328,3,15.435576507375178,8.911734251630122,-26.522394986666665,3,0.5960436082259721,0.34412593765802085,19.67475083,3,1.9540734209460762,1.12818481559951,-26.38364151,20.08985003,-100.47175850000001,-101.607895063,15,8.938806706261692,2.307989967221247,-25.645160807761904,15,0.8759150393939776,0.2261602906843659,17.45028017842857,15,1.8000500711398595,0.4647709298576101
AR,I-3,Aeshnidae,3,NA,invertebrate,-95.25449627,1,NA,NA,-31.32331447,1,NA,NA,11.61035782,1,NA,NA,-31.32331447,11.61035782,-95.25449627,-92.7130851215,10,7.873110634564515,2.4896961875717456,-28.107862543,10,1.4841019918543852,0.4693142574252516,15.454326012,10,2.4852889024344944,0.7859173575232992
AR,A-1,aquatic vegetation,1,NA,Aquatic primary producer,-96.70573120333333,3,3.063738345660486,1.7688501585936602,-31.100219120000002,3,0.029532007856690815,0.017050312685770584,17.92402682,3,0.15805612473956576,0.09125374616545737,-31.07385596,18.04175667,-99.47249264,-134.36938673083333,12,32.96228758917835,9.515392806358992,-23.003953656666667,12,6.715290343030359,1.9385373436175362,16.885729074166665,12,1.2092930836210833,0.34909284367889254
AR,A-1,aquatic vegetation,1,NA,Aquatic primary producer,-96.70573120333333,3,3.063738345660486,1.7688501585936602,-31.100219120000002,3,0.029532007856690815,0.017050312685770584,17.92402682,3,0.15805612473956576,0.09125374616545737,-31.13213242,17.74438731,-97.23160846,-134.36938673083333,12,32.96228758917835,9.515392806358992,-23.003953656666667,12,6.715290343030359,1.9385373436175362,16.885729074166665,12,1.2092930836210833,0.34909284367889254
AR,A-1,aquatic vegetation,1,NA,Aquatic primary producer,-96.70573120333333,3,3.063738345660486,1.7688501585936602,-31.100219120000002,3,0.029532007856690815,0.017050312685770584,17.92402682,3,0.15805612473956576,0.09125374616545737,-31.09466898,17.98593648,-93.41309251,-134.36938673083333,12,32.96228758917835,9.515392806358992,-23.003953656666667,12,6.715290343030359,1.9385373436175362,16.885729074166665,12,1.2092930836210833,0.34909284367889254
AR,I-3,Coenagrionidae,3,NA,invertebrate,-96.96764910499999,3,2.2627349752114565,1.5999952449999952,-27.87975089,3,0.542937038647169,0.3134648454159613,18.337096193333334,3,1.3014391628507016,0.7513862510057738,-27.74481313,17.69161186,-95.36765386,-92.7130851215,10,7.873110634564515,2.4896961875717456,-28.107862543,10,1.4841019918543852,0.4693142574252516,15.454326012,10,2.4852889024344944,0.7859173575232992
AR,I-3,Coenagrionidae,3,NA,invertebrate,-96.96764910499999,3,2.2627349752114565,1.5999952449999952,-27.87975089,3,0.542937038647169,0.3134648454159613,18.337096193333334,3,1.3014391628507016,0.7513862510057738,-27.41700804,19.835107,-96.96764910499999,-92.7130851215,10,7.873110634564515,2.4896961875717456,-28.107862543,10,1.4841019918543852,0.4693142574252516,15.454326012,10,2.4852889024344944,0.7859173575232992
AR,I-3,Coenagrionidae,3,NA,invertebrate,-96.96764910499999,3,2.2627349752114565,1.5999952449999952,-27.87975089,3,0.542937038647169,0.3134648454159613,18.337096193333334,3,1.3014391628507016,0.7513862510057738,-28.4774315,17.48456972,-98.56764435,-92.7130851215,10,7.873110634564515,2.4896961875717456,-28.107862543,10,1.4841019918543852,0.4693142574252516,15.454326012,10,2.4852889024344944,0.7859173575232992
AR,I-2,Corbiculidae,2,NA,invertebrate,-90.536920605,4,4.723609561633174,2.361804780816587,-26.22444344,4,0.9872980233149528,0.4936490116574764,12.0821249175,4,1.6784689543876394,0.8392344771938197,-27.62097565,14.55350251,-92.08238793,-98.87383948,13,15.722828785254066,4.360728106198056,-27.125316394615385,13,1.5863310395617949,0.4399690694615497,14.968435727692308,13,2.62526967620259,0.7281188022668603
AR,I-2,Corbiculidae,2,NA,invertebrate,-90.536920605,4,4.723609561633174,2.361804780816587,-26.22444344,4,0.9872980233149528,0.4936490116574764,12.0821249175,4,1.6784689543876394,0.8392344771938197,-25.85707206,11.31999137,-85.04053557,-98.87383948,13,15.722828785254066,4.360728106198056,-27.125316394615385,13,1.5863310395617949,0.4399690694615497,14.968435727692308,13,2.62526967620259,0.7281188022668603
AR,I-2,Corbiculidae,2,NA,invertebrate,-90.536920605,4,4.723609561633174,2.361804780816587,-26.22444344,4,0.9872980233149528,0.4936490116574764,12.0821249175,4,1.6784689543876394,0.8392344771938197,-25.3165297,11.61638703,-88.86999914,-98.87383948,13,15.722828785254066,4.360728106198056,-27.125316394615385,13,1.5863310395617949,0.4399690694615497,14.968435727692308,13,2.62526967620259,0.7281188022668603
AR,I-2,Corbiculidae,2,NA,invertebrate,-90.536920605,4,4.723609561633174,2.361804780816587,-26.22444344,4,0.9872980233149528,0.4936490116574764,12.0821249175,4,1.6784689543876394,0.8392344771938197,-26.10319635,10.83861876,-96.15475978,-98.87383948,13,15.722828785254066,4.360728106198056,-27.125316394615385,13,1.5863310395617949,0.4399690694615497,14.968435727692308,13,2.62526967620259,0.7281188022668603
