type,NP_mean,NP_sd,CP_mean,CP_sd,NP_L,CP_L,Sample,Amp 28,Amp 44,"d15N (permil, vs AIR)","d13C (permil, vs VPDB)",NP,CP,MS_notes,tray,site,species,my_rep,UID,cycle,max_length,details
Aquatic,1.9548148148148148,1.2707156383779312,22.894444444444446,11.9979547402346,-1.2219742811300132,-7.100442406142058,PLC-Av-Aquat-1,1762,4735,9.743988216536277,-30.294028192785184,1.86,27.12,NA,Terrg 21-46.xlsx,PLC,Aquat,1,PLC-Av-Aquat-1,2020-05-20,NA,HVARO chloa spp
Aquatic,1.9548148148148148,1.2707156383779312,22.894444444444446,11.9979547402346,-1.2219742811300132,-7.100442406142058,PDC-Av-Filam-1,898,3127,3.8406604360122905,-15.08436411523408,0.79,14.44,NA,Terrg 21-46.xlsx,PDC,Filam,1,PDC-Av-Filam-1,2020-05-20,NA,NA
Aquatic,1.9548148148148148,1.2707156383779312,22.894444444444446,11.9979547402346,-1.2219742811300132,-7.100442406142058,PLC-Av-Filam-1,1953,3633,8.494216444414393,-30.668720680436728,1.52,15.55,NA,Terrg 21-46.xlsx,PLC,Filam,1,PLC-Av-Filam-1,2020-05-20,NA,NA
Aquatic,1.9548148148148148,1.2707156383779312,22.894444444444446,11.9979547402346,-1.2219742811300132,-7.100442406142058,SFC-Av-Filam-1,1168,1908,10.389585760906433,-26.595976249441655,0.98,8.66,NA,Terrg 21-46.xlsx,SFC,Filam,1,SFC-Av-Filam-1,2020-05-20,NA,NA
Aquatic,1.9548148148148148,1.2707156383779312,22.894444444444446,11.9979547402346,-1.2219742811300132,-7.100442406142058,AR-Av-Filam-1,1883,3776,13.500375806470931,-29.592497964546283,1.51,16.62,NA,Terrg 21-46.xlsx,AR,Filam,1,AR-Av-Filam-1,2020-05-20,NA,NA
Aquatic,1.9548148148148148,1.2707156383779312,22.894444444444446,11.9979547402346,-1.2219742811300132,-7.100442406142058,GC-Av-Filam-1,2490,5057,9.207505750087837,-32.343636827683454,1.98,22.29,NA,Terrg 21-46.xlsx,GC,Filam,1,GC-Av-Filam-1,2020-05-20,NA,NA
Aquatic,1.9548148148148148,1.2707156383779312,22.894444444444446,11.9979547402346,-1.2219742811300132,-7.100442406142058,TRC-Av-Aquat-1,2396,5811,16.68390923731657,-28.020418614182184,2.44,32.82,NA,Terrg 21-46.xlsx,TRC,Aquat,1,TRC-Av-Aquat-1,2020-05-20,NA,Potamogeton spp
Aquatic,1.9548148148148148,1.2707156383779312,22.894444444444446,11.9979547402346,-1.2219742811300132,-7.100442406142058,SFC-Av-Aquat-1,2259,6334,16.206025609011277,-32.58189237689667,2.28,35.43,NA,Terrg 21-46.xlsx,SFC,Aquat,1,SFC-Av-Aquat-1,2020-05-20,NA,Potamogeton spp
Aquatic,1.9548148148148148,1.2707156383779312,22.894444444444446,11.9979547402346,-1.2219742811300132,-7.100442406142058,AR-Av-Aquat-1,4214,6682,15.860494528925841,-29.79817155831153,4.12,36.79,NA,Terrg 21-46.xlsx,AR,Aquat,1,AR-Av-Aquat-1,2020-05-20,NA,Hydrocotn spp
Aquatic,1.9548148148148148,1.2707156383779312,22.894444444444446,11.9979547402346,-1.2219742811300132,-7.100442406142058,MR-Av-Aquat-1,2167,4530,7.082792705001076,-29.87453551639269,2.26,25.96,NA,Terrg 21-46.xlsx,MR,Aquat,1,MR-Av-Aquat-1,2020-05-20,NA,Hydrocotn spp
Aquatic,1.9548148148148148,1.2707156383779312,22.894444444444446,11.9979547402346,-1.2219742811300132,-7.100442406142058,PDC-Av-Aquat-1,2508,6724,3.2031454900067056,-27.355543085822234,2.43,37.19,NA,Terrg 21-46.xlsx,PDC,Aquat,1,PDC-Av-Aquat-1,2020-05-20,NA,Potamogeton spp
Aquatic,1.9548148148148148,1.2707156383779312,22.894444444444446,11.9979547402346,-1.2219742811300132,-7.100442406142058,PDC-Av-Aquat-2,1217,6936,3.300136670381564,-13.0429009691978,1.25,38.77,NA,Terrg 21-46.xlsx,PDC,Aquat,2,PDC-Av-Aquat-2,2020-05-20,NA,Hydrocotn spp
