sulfur,S_percent,carbon,nitrogen,N_percent,C_percent,site,type,species,max_forklength,my_rep,details,tray,UID,project,collection
2.55,0.82,-27.85101853,21.88745179,12.61,42.29,AR,Fish,H.cyanoguttatus,40,1,NA,NA,TERRG_2020_01_AR_Fish_H.cyanoguttatus_40_1,TERRG,2020-01-15
3.92,0.97,-25.26300104,20.16069055,14.92,47.86,AR,Fish,H.cyanoguttatus,80,1,NA,NA,TERRG_2020_01_AR_Fish_H.cyanoguttatus_80_1,TERRG,2020-01-15
3.92,0.92,-26.15469258,19.12028795,14.47,47.56,AR,Fish,H.cyanoguttatus,120,1,NA,NA,TERRG_2020_01_AR_Fish_H.cyanoguttatus_120_1,TERRG,2020-01-15
4.48,0.82,-26.68423595,19.78999007,13.09,44.62,AR,Fish,I.punctatus,120,1,NA,NA,TERRG_2020_01_AR_Fish_I.punctatus_120_1,TERRG,2020-01-15
1.48,0.91,-27.91808614,19.34192656,15.01,48.43,AR,Fish,L.auritus,80,1,NA,NA,TERRG_2020_01_AR_Fish_L.auritus_80_1,TERRG,2020-01-15
3.9,0.89,-25.97568831,18.57222829,14.81,47.44,AR,Fish,L.auritus,80,2,NA,NA,TERRG_2020_01_AR_Fish_L.auritus_80_2,TERRG,2020-01-15
4.86,0.92,-24.26932158,15.57834449,16.68,52.08,AR,Fish,L.auritus,120,1,NA,NA,TERRG_2020_01_AR_Fish_L.auritus_120_1,TERRG,2020-01-15
4.51,0.93,-25.45367858,17.34500169,20.7,64.96,AR,Fish,L.auritus,120,2,NA,NA,TERRG_2020_01_AR_Fish_L.auritus_120_2,TERRG,2020-01-15
2.3,0.97,-27.13828823,21.15730335,14.39,46.96,AR,Fish,L.cyanellus,80,1,NA,NA,TERRG_2020_01_AR_Fish_L.cyanellus_80_1,TERRG,2020-01-15
5.53,1.07,-23.43594741,16.81949463,15.05,47.94,AR,Fish,L.cyanellus,80,2,NA,NA,TERRG_2020_01_AR_Fish_L.cyanellus_80_2,TERRG,2020-01-15
4.6,0.94,-25.21323693,20.57543881,14.8,47.37,AR,Fish,L.cyanellus,120,1,NA,NA,TERRG_2020_01_AR_Fish_L.cyanellus_120_1,TERRG,2020-01-15
