SAMPLE,ELEMENT,SITE_TYPE,TAXON,PERMIL
1,CARBON,Estuary,Algae,-23.58366665666743
1,CARBON,Estuary,Coarse Detritus,-16.556462420246973
1,CARBON,Estuary,Macrophyte,-25.80741284563234
1,SULFUR,Estuary,Algae,21.945348111567885
1,SULFUR,Estuary,Coarse Detritus,14.946818044275219
1,SULFUR,Estuary,Macrophyte,3.6283035521902978
1,NITROGEN,Estuary,Algae,7.290433340247695
1,NITROGEN,Estuary,Coarse Detritus,4.107049163335645
1,NITROGEN,Estuary,Macrophyte,8.581429728246363
2,CARBON,Estuary,Algae,-23.05784524121761
2,CARBON,Estuary,Coarse Detritus,-12.05862804957368
2,CARBON,Estuary,Macrophyte,-18.31310315638466
2,SULFUR,Estuary,Algae,19.491186799644222
2,SULFUR,Estuary,Coarse Detritus,13.466388541878295
2,SULFUR,Estuary,Macrophyte,11.443455468943855
2,NITROGEN,Estuary,Algae,6.609931160086239
2,NITROGEN,Estuary,Coarse Detritus,4.747874054539594
2,NITROGEN,Estuary,Macrophyte,9.470529864003401
3,CARBON,Estuary,Algae,-20.69994121319386
3,CARBON,Estuary,Coarse Detritus,-13.967804889584304
3,CARBON,Estuary,Macrophyte,-9.307887682734076
3,SULFUR,Estuary,Algae,18.021124492095627
3,SULFUR,Estuary,Coarse Detritus,9.586535507803127
3,SULFUR,Estuary,Macrophyte,22.063984576509526
3,NITROGEN,Estuary,Algae,11.714704961889662
3,NITROGEN,Estuary,Coarse Detritus,6.142571187607261
3,NITROGEN,Estuary,Macrophyte,12.165841782458962
4,CARBON,Estuary,Algae,-17.598723053010367
4,CARBON,Estuary,Coarse Detritus,-13.06183576418665
4,CARBON,Estuary,Macrophyte,-34.14541263325098
4,SULFUR,Estuary,Algae,18.518050056874788
4,SULFUR,Estuary,Coarse Detritus,13.140408648606194
4,SULFUR,Estuary,Macrophyte,16.30624447790879
4,NITROGEN,Estuary,Algae,14.763452763374556
4,NITROGEN,Estuary,Coarse Detritus,11.639491513228606
4,NITROGEN,Estuary,Macrophyte,9.810778170050373
5,CARBON,Estuary,Algae,-19.65319779424738
5,CARBON,Estuary,Coarse Detritus,-19.015046069514057
5,CARBON,Estuary,Macrophyte,-20.55249354104493
5,SULFUR,Estuary,Algae,16.579568654199594
5,SULFUR,Estuary,Coarse Detritus,9.38623753814509
5,SULFUR,Estuary,Macrophyte,10.32954671836293
5,NITROGEN,Estuary,Algae,12.567715148515015
5,NITROGEN,Estuary,Coarse Detritus,13.340012771553063
5,NITROGEN,Estuary,Macrophyte,7.063601858707297
6,CARBON,Estuary,Algae,-19.150568909984678
6,CARBON,Estuary,Coarse Detritus,-22.977457290535817
6,CARBON,Estuary,Macrophyte,-16.121852869487334
6,SULFUR,Estuary,Algae,18.050053555093612
6,SULFUR,Estuary,Coarse Detritus,14.82508837088167
6,SULFUR,Estuary,Macrophyte,10.389467131810083
6,NITROGEN,Estuary,Algae,12.928934743733551
6,NITROGEN,Estuary,Coarse Detritus,3.7141424815425137
6,NITROGEN,Estuary,Macrophyte,13.331573774601836
7,CARBON,Estuary,Algae,-17.002451229738718
7,CARBON,Estuary,Coarse Detritus,-13.118182691555965
7,CARBON,Estuary,Macrophyte,-14.285659704354114
7,SULFUR,Estuary,Algae,17.95183681219614
7,SULFUR,Estuary,Coarse Detritus,14.605407917496217
